,antecedents,consequents,support,confidence,lift
0,CSC310_F,BUS313_F,0.21875000000000003,1.0,2.285714285714285
1,CSC312_A,EDS311_A,0.3125,1.0,1.4545454545454541
2,BUS313_C,CIT310_A,0.28125,0.9,1.309090909090909
3,CSC317_C,CIT310_A,0.375,0.8571428571428571,1.246753246753246
4,MIS316_B,CIT310_A,0.34375000000000006,0.846153846153846,1.23076923076923
5,CSC313_A,EDS311_A,0.3125,0.833333333333333,1.212121212121212
6,BFN311_C,CIT310_A,0.28125,0.818181818181818,1.190082644628099
7,BFN311_C,EDS311_A,0.28125,0.818181818181818,1.190082644628099
8,CSC310_C,CIT310_A,0.28125,0.818181818181818,1.190082644628099
9,CSC312_A,CIT310_A,0.25,0.8,1.1636363636363631
